AppId,StartTime,EndTime,Id,Time,Duration,Revenue,Hours
Dotyk.Application.JigsawPuzzle,2018-02-01T16:19:09.3914335Z,2018-02-01T16:20:59.418Z,d128f8f9-f7d9-4c3e-a5b9-4e2ec9723308,16.32,1.83,175.0,16
Dotyk.Application.Wallpapers,2018-02-01T16:19:15.474818Z,2018-02-01T16:19:37.881Z,bec7d27a-0e97-49b9-91a8-5e44d7529a42,16.32,0.37,129.0,16
Dotyk.Application.JigsawPuzzle,2018-02-01T16:19:42.3897102Z,2018-02-01T16:22:48.797Z,50f55ac6-f4a7-4884-a9c7-8644059cc513,16.32,3.11,129.0,16
Dotyk.Application.JigsawPuzzle,2018-02-01T16:19:51.3044287Z,2018-02-01T16:26:39.393Z,f7b583d1-017a-4762-8c35-c5bf49474e8e,16.32,6.8,36.0,16
Dotyk.Application.AirHockey,2018-02-01T16:21:40.9292649Z,2018-02-01T16:39:40.134Z,a34f5ba3-f18c-4862-ad90-12a63d04190a,16.35,17.99,175.0,16
Dotyk.Application.PhotoShare,2018-02-01T16:22:53.5043838Z,2018-02-01T16:23:58.671Z,fe10ab56-dd1e-4798-a12a-093070db8de7,16.37,1.09,129.0,16
Dotyk.Application.JigsawPuzzle,2018-02-01T16:24:01.6382836Z,2018-02-01T16:48:58.372Z,a8097e43-27c7-4999-8819-1316f8f3c2b2,16.4,24.95,129.0,16
Dotyk.Application.AirHockey,2018-02-01T16:27:14.2747492Z,2018-02-01T16:27:21.387Z,3ddd5aa1-9d62-4006-a649-8459ef5cf570,16.45,0.12,115.0,16
Dotyk.Application.Paint,2018-02-01T16:27:27.355663Z,2018-02-01T16:28:03.423Z,66c4f945-f68b-441c-8b7b-d4738d214b70,16.45,0.6,115.0,16
Dotyk.Application.JigsawPuzzle,2018-02-01T16:28:08.5111995Z,2018-02-01T16:28:37.624Z,72ef32cc-e008-4cd6-bbf8-c08f2baae4e4,16.47,0.49,115.0,16
Dotyk.Application.Restaurant,2018-02-01T16:28:09.4087124Z,2018-02-01T16:28:44.87Z,b7dd8a7f-9d69-4b5e-8849-3660cadff7f4,16.47,0.59,129.0,16
Dotyk.Application.PhotoShare,2018-02-01T16:28:42.302559Z,2018-02-01T16:29:53.205Z,fd4fa63d-fe89-4ade-919a-3c2bc99a8b34,16.47,1.18,115.0,16
Dotyk.Application.Memory,2018-02-01T16:28:48.6653834Z,2018-02-01T16:29:50.81Z,4ec5c2a3-66b4-4991-9828-ab7955caebff,16.47,1.04,38.0,16
Dotyk.Application.Restaurant,2018-02-01T16:29:45.0227193Z,2018-02-01T16:31:13.48Z,ecf3b8d5-9aac-429b-97f3-686959e76cd8,16.48,1.47,129.0,16
Dotyk.Application.News,2018-02-01T16:30:04.4818992Z,2018-02-01T16:30:12.91Z,e4a06d78-cf2f-47d0-be75-c65184e14c19,16.5,0.14,115.0,16
Dotyk.Application.Memory,2018-02-01T16:30:15.5953108Z,2018-02-01T16:31:19.623Z,d7363085-a1f1-4cdd-b754-4669409e2710,16.5,1.07,38.0,16
Dotyk.Application.Restaurant,2018-02-01T16:30:30.763485Z,2018-02-01T16:31:18.295Z,d4ef28a7-7db0-48d1-ad1d-5985cbb1a1fd,16.5,0.79,115.0,16
